"Enabled","Разрешено"
"Invoice ID","Номер чека"
"New order status","Статус созданного заказа"
"Notified customer about invoice #%s.","Покупатель оповещен о принятом платеже #%s."
"Order Amount is wrong.","Суммы заказа и платежа не совпадают."
"Payer Purse","Кошеле плательщика"
"Payer WMID","WMID плательщика"
"Payment for order #","Платеж для заказа #"
"Payment from applicable countries","Платеж доступен для стран"
"Payment from Specific countries","Платеж для определенных стран"
"Pending Webmoney","Ожмдение платежа Webmoney"
"Secure check failure.","Ошибка безопасности."
"Secure key","Secure key"
"Show Passport","Отобразить паспорт"
"Title in checkout","Название при создании заказа"
"Transaction ID","Номер транзакции"
"WebMoney payment failure.","Ошибка платежа Webmomey."
"WMB","WMB"
"WME","WME"
"WMR","WMR"
"WMU","WMU"
"WMY","WMY"
"WMZ","WMZ"
"Wrong Merchant Purse.","Неверный кошелек продавца."
"You will be redirected to WebMoney service in a few seconds.","Вы будете перенаправлены на сервис WebMoney через несколько секунд."
"You will be redirected to WebMoney website when you place an order.","Вы будете перенаправлены на сайт WebMoney когда заказ будет создан."
